Origin,Dest,Miles,PricePerTicket
ABE,ATL,692.0,243.15111111111116
ABE,FLL,1041.0,100.4891277258567
ABE,MYR,518.0,83.24377224199289
ABE,ORD,655.0,206.368
ABE,PGD,1018.0,111.63873493975903
ABE,PIE,970.0,110.89761158021712
ABE,PNS,963.0,254.7205
ABE,SFB,882.0,111.96223395613323
ABI,DFW,158.0,613.875
ABQ,AGS,1412.0,354.4375
ABQ,ATL,1269.0,286.20957460732984
ABQ,AUS,619.0,140.13362211221124
ABQ,BDL,1886.0,283.212
ABQ,BHM,1138.0,251.865
ABQ,BNA,1123.0,257.7954310344827
ABQ,BOI,781.0,220.33333333333334
ABQ,BOS,1974.0,196.99722689075622
ABQ,BTV,1881.0,275.35423076923075
ABQ,BUF,1588.0,311.88142857142856
ABQ,BUR,672.0,165.81424528301883
ABQ,BWI,1670.0,288.318669090909
ABQ,CHS,1528.0,328.31234234234233
ABQ,CLE,1411.0,317.6188888888889
ABQ,CLT,1449.0,303.0
ABQ,CMH,1342.0,239.32782608695655
ABQ,CRP,734.0,270.0366666666667
ABQ,CVG,1241.0,234.465
ABQ,DAL,580.0,211.2478001491424
ABQ,DCA,1650.0,254.78409883720929
ABQ,DEN,349.0,142.76668108533238
ABQ,DFW,569.0,245.79241587575504
ABQ,DSM,833.0,204.47
ABQ,DTW,1347.0,212.3417241379311
ABQ,EWR,1805.0,295.6933333333333
ABQ,FLL,1688.0,246.21656250000004
ABQ,GEG,1035.0,284.81
ABQ,GRR,1253.0,228.875
ABQ,HOU,759.0,250.37025083612045
ABQ,HRL,807.0,266.53499999999997
ABQ,IAH,744.0,247.2692660550459
ABQ,IND,1161.0,214.13775510204073
ABQ,ISP,1861.0,210.6825
ABQ,JAX,1480.0,200.33666666666667
ABQ,JFK,1826.0,215.16790938511326
ABQ,LAS,486.0,158.9968229885058
ABQ,LAX,677.0,158.62140283842788
ABQ,LBB,290.0,414.0
ABQ,LGB,664.0,239.0
ABQ,LIT,817.0,208.0
ABQ,MAF,332.0,377.91333333333336
